num_bosch,modelo_ecu
0261100000,EPC
0261200001,ML1
0261200002,ML1
0261200004,ML1.1
0261200006,ML1.1
0261200007,ML1
0261200008,ML1
0261200011,ML2
0261200012,ML1
0261200013,ML1.3
0261200015,ML1.2
0261200016,ML1.1
0261200018,ML1.3
0261200019,ML1.3
0261200021,ML1.2
0261200022,ML1
0261200023,ML1
0261200024,ML1.3
0261200025,ML1.3
0261200026,ML1.1
0261200027,ML1
0261200028,M2.9
0261200040,ML2
0261200042,ML2
0261200043,ML2
0261200044,ML2
0261200045,ML2.2
0261200048,ML2.1
0261200050,ML3.1
0261200051,ML3.1
0261200052,ML3.1
0261200054,ML3.1
0261200055,ML3.1
0261200057,ML3.1
0261200058,ML3.1
0261200059,ML3.2
0261200060,ML3.3
0261200061,ML3.3
0261200063,ML3.3
0261200065,ML5.1
0261200066,ML5.1
0261200067,ML5.1
0261200068,ML5.2
0261200070,M2.10.1
0261200071,ML3.1
0261200073,ML3.3
0261200074,ML3.3
0261200075,ML3.1
0261200076,ML3.1
0261200077,ML3.1
0261200078,ML3.1
0261200079,ML3.1
0261200080,M2.1
0261200081,ML3.3
0261200082,ML3.1
0261200083,ML3.3
0261200084,ML3.1
0261200085,ML3.1
0261200086,ML3.1
,2
0261200087,ML3.1
0261200088,ML3.1
0261200089,ML3.1
0261200090,ML3.1
0261200091,ML3.1
0261200092,ML3.1
0261200100,ML4.1
0261200101,ML4.1
0261200102,ML4.1
0261200103,ML4.1
0261200104,ML4.1
0261200105,ML4.1
0261200108,ML4.1
0261200109,ML4.1
0261200110,ML4.1
0261200111,ML4.1
0261200112,ML4.1
0261200113,ML4.1
0261200114,ML4.1
0261200115,ML4.1
0261200116,ML4.1
0261200117,ML4.1
0261200118,ML4.1
0261200119,ML4.1
0261200120,ML4.1
0261200121,ML4.1
0261200122,ML4.1
0261200123,ML4.1
0261200124,ML4.1
0261200125,ML4.1
0261200126,ML4.1
0261200127,ML4.1
0261200128,ML4.1
0261200129,ML4.1
0261200130,ML4.1
0261200131,ML4.1
0261200132,ML4.1
0261200133,ML4.1
0261200134,ML4.1
0261200135,ML4.1
0261200136,ML4.1
0261200137,ML4.1
0261200138,ML4.1
0261200139,ML4.1
0261200140,ML4.1
0261200141,ML4.1
0261200142,ML4.1
0261200143,ML4.1
0261200144,ML4.1
0261200145,ML4.1
0261200146,ML4.1
0261200147,ML4.1
0261200148,ML4.1
0261200150,M1.1
0261200151,M1.1
0261200152,M1.1
0261200154,M1.1
0261200156,M1.2
0261200157,M1.3.
0261200158,M1.3.
,3
0261200159,M1.3.
0261200160,M1.3.
0261200161,M1.3.
0261200162,M1.3.
0261200163,M1.1
0261200164,M1.1
0261200165,M1.5
0261200166,M1.5
0261200167,M1.1
0261200172,M1.3.
0261200173,M1.3
0261200174,M1.3.
0261200175,M1.7
0261200176,M1.3.
0261200177,M1.3.
0261200178,M1.3.
0261200179,M1.3.
0261200182,M2.1
0261200183,M2.2
0261200184,M2.2
0261200185,M2.5
0261200186,M2.5
0261200187,M2.1
0261200189,M2.3
0261200190,M2.5
0261200191,M2.5
0261200192,M2.5
0261200193,M2.5
0261200194,M2.5
0261200195,M2.1
0261200198,M2.4
0261200199,M2.4
0261200200,MP3.1
0261200201,MP3.1
0261200202,MP3.1
0261200203,MP3.1
0261200204,MP3.1
0261200205,MP3.1
0261200206,MP3.1
0261200208,MP3.1
0261200209,MP3.1
0261200210,MP3.1
0261200211,MP3.1
0261200212,MP3.1
0261200213,MP3.1
0261200214,MP3.1
0261200215,MP3.1
0261200216,MP3.1
0261200217,MP3.1
0261200218,MP3.2
0261200219,MP3.2
0261200220,MK1.1
0261200221,MK1.1
0261200222,MK1.2
0261200223,MK1.2
0261200224,MK1.3
0261200225,MK1.2.1
0261200226,MK1.2.1
0261200227,MK1.3
0261200228,MK1.2.2
,4
0261200229,MK1.2.2
0261200230,MK1.2.2
0261200231,MK1.2.2
0261200232,MK1.2.1
0261200233,MK1.2.1
0261200234,MK1.2.1
0261200235,MK1.2.1
0261200236,MK1.2.2
0261200237,MK1.2.2
0261200238,MK1.2.1
0261200239,MK1.2.1
0261200240,MK1.2
0261200241,MK1.2
0261200242,MK1.2
0261200243,MK1.2
0261200244,MK1.2.2
0261200245,MK1.2
0261200246,MK1.2
0261200247,MK1.2.2
0261200248,MK1.2.2
0261200249,MK1.2
0261200250,MA2.1
0261200251,MA1.2
0261200252,MA1.2
0261200253,MA1.2.1
0261200254,MA1.2
0261200255,MA1.5
0261200256,ML4.1
0261200257,MA1.2.2
0261200258,MA1.2.2
0261200259,MA1.2.1
0261200260,MA1.2
0261200261,MA1.2
0261200262,MA1.2
0261200263,MA1.2.1
0261200264,MA1.2.1
0261200265,MA1.2.1
0261200266,MA1.2
0261200267,MA1.2.1
0261200268,MA1.6
0261200269,MA1.2
0261200270,MA2.1
0261200271,MA1.2.1
0261200272,MA1.2.1
0261200273,MA1.2.1
0261200274,MA1.2.1
0261200275,MA1.2.2
0261200276,MA1.2.2
0261200277,MA1.2.1
0261200278,MA1.2.1
0261200280,MP4.0
0261200281,MP4.0
0261200282,ML5.3
0261200283,ML5.3
0261200284,ML5.3
0261200285,ML5.3
0261200286,ML5.3
0261200287,ML5-3
0261200288,ML5.1
0261200289,ML5.1
,5
0261200290,ML5.2
0261200291,ML5.2
0261200292,ML5.1
0261200293,ML5.1
0261200294,ML6.1
0261200295,ML6.1
0261200296,ML6.1.4
0261200297,ML6.1.4
0261200298,ML6.1.4
0261200299,ML6.1.4
0261200302,ML5.3
0261200303,ML5.3
0261200304,ML6.1
0261200305,ML6.1
0261200306,ML5.4
0261200307,ML5.4
0261200308,ML6.1
0261200309,ML6.1
0261200310,ML6.1
0261200311,ML6.1
0261200312,MP4.0
0261200313,MP4.0
0261200314,MP4.0
0261200315,MP4.0
0261200318,ML6.1
0261200319,ML6.1
0261200320,ML6.1
0261200321,ML6.1
0261200322,ML6.1
0261200323,ML6.1
0261200324,ML6.1
0261200325,ML6.1
0261200326,ML5.4
0261200327,ML5.4
0261200328,ML5.5
0261200329,ML5.5
0261200330,MP4.2
0261200331,MP4.2
0261200332,MP4.1
0261200333,MP4.1
0261200334,MP4.1
0261200335,MP4.1
0261200336,ML6.1.1
0261200337,ML6.1.1
0261200338,ML6.1.4
0261200339,ML6.1.4
0261200340,MP4.1
0261200341,MP4.1
0261200342,MP4.0
0261200343,MP4.0
0261200344,MP4.0
0261200345,MP4.0
0261200346,MP4.0
0261200347,MP4.0
0261200350,M1.2
0261200351,M1.3
0261200352,M1.7
0261200353,M1.3
0261200354,M1.3.1
0261200355,M1.3.1
,6
0261200356,M1.5
0261200357,M1.5.1
0261200358,M1.9
0261200359,M1.9
0261200360,M1.9
0261200361,M1.9
0261200362,M1.8
0261200363,M1.3
0261200366,M1.5
0261200367,M1.5.1
0261200368,M1.5
0261200369,M1.5.1R
0261200370,M1.5
0261200371,M1.5.1R
0261200372,M1.5
0261200373,M1.5.1R
0261200374,M1.5
0261200375,M1.5.1R
0261200376,M1.5.1
0261200377,M1.5.1R
0261200378,M1.5
0261200379,M1.5.1R
0261200380,M1.3.
0261200381,M1.3.
0261200382,M1.3.
0261200383,M1.5
0261200384,M1.5.1R
0261200385,M1.3.
0261200386,M1.3.
0261200387,M1.3.
0261200388,M1.3.
0261200389,M1.3.
0261200390,M1.3.
0261200395,M1.3
0261200396,M1.3
0261200406,M3.4
0261200407,M3.4
0261200408,M3.4
0261200409,M3.4
0261200410,M3.4
0261200411,M3.4
0261200414,M3.4
0261200415,M3.4
0261200416,M3.4
0261200417,M3.4
0261200418,M3.4
0261200419,M3.4
0261200420,M3.4
0261200421,M3.4
0261200422,M3.4.1
0261200423,M3.4.1
0261200424,M3.4.1
0261200425,M3.4.1
0261200426,M3.4.1
0261200427,M3.4.1
0261200428,M3.4.1
0261200429,M3.4.1
0261200430,M3.4.1
0261200431,M3.4.1
0261200432,M3.4.1
,7
0261200433,M3.4.1
0261200434,M3.4
0261200435,M3.4
0261200436,M3.4
0261200437,M3.4
0261200438,M3.4.1
0261200439,M3.4.1
0261200440,M3.4.1
0261200441,M3.4.1
0261200442,M3.4
0261200443,M3.4
0261200444,M3.4
0261200445,M3.4
0261200446,M3.4
0261200447,M3.4
0261200449,M3.4
0261200450,M2.1
0261200451,M2.3
0261200452,M2.3
0261200453,M2.3
0261200454,M2.3
0261200455,M2.3
0261200456,M2.3
0261200457,M2.7
0261200458,M2.1
0261200461,M2.4
0261200462,M2.4
0261200465,M2.3.2
0261200466,M2.3.2
0261200467,M2.4.1
0261200468,M2.4.1
0261200469,M2.7
0261200470,M2.7
0261200471,M2.7
0261200472,M2.5
0261200473,M2.1
0261200475,M2.5
0261200476,M2.5
0261200477,M2.5
0261200478,M2.5
0261200479,M2.5
0261200480,M2.5
0261200481,M2.5
0261200482,M2.5
0261200483,M2.1
0261200484,M2.3
0261200485,M2.3
0261200486,M2.7
0261200487,M2.5
0261200488,M2.5
0261200489,M2.7
0261200490,M2.7
0261200491,M2.9
0261200492,M2.9
0261200493,M2.9
0261200494,M2.9
0261200495,M2.9
0261200496,M2.9
0261200497,M2.9
0261200498,M2.9
,8
0261200500,M4.3
0261200502,M1.1.0
0261200503,M4.3
0261200504,M4.4.1
0261200505,M4.3
0261200506,M4.3
0261200507,M1.8
0261200509,M1.3
0261200510,M1.3
0261200511,M1.5
0261200512,M1.5
0261200513,M1.5.1
0261200514,M1.1.0
0261200515,M1.3
0261200516,M1.8
0261200517,M1.8
0261200518,M1.8
0261200519,M1.5
0261200520,M1.7
0261200521,M1.7
0261200522,M1.7
0261200523,M1.3
0261200524,M1.3
0261200525,M1.3.
